Bytes Used	Count		Symbol Name
  11.26 MB       1.9%	32	 	                                                    [J]com.badlogic.gdx.graphics.GLTexture.uploadImageData(ILcom/badlogic/gdx/graphics/TextureData;)V
  11.26 MB       1.9%	32	 	                                                     [J]com.badlogic.gdx.graphics.GLTexture.uploadImageData(ILcom/badlogic/gdx/graphics/TextureData;I)V
  11.26 MB       1.9%	32	 	                                                      [J]com.badlogic.gdx.backends.iosrobovm.IOSGLES20.glTexImage2D(IIIIIIIILjava/nio/Buffer;)V
  11.26 MB       1.9%	32	 	                                                       [J]com.badlogic.gdx.backends.iosrobovm.IOSGLES20.glTexImage2DJNI(IIIIIIIILjava/nio/Buffer;)V
  11.26 MB       1.9%	32	 	                                                        Java_com_badlogic_gdx_backends_iosrobovm_IOSGLES20_glTexImage2DJNI
  11.26 MB       1.9%	32	 	                                                         Java_com_badlogic_gdx_backends_iosrobovm_IOSGLES20_glTexImage2DJNI__IIIIIIIILjava_nio_Buffer_2
  11.26 MB       1.9%	32	 	                                                          glTexImage2D
  11.26 MB       1.9%	32	 	                                                           glTexImage2D_Exec
  11.26 MB       1.9%	32	 	                                                            gldModifyTexSubImage
  11.26 MB       1.9%	32	 	                                                             GLDTextureRec::load()
  11.26 MB       1.9%	32	 	                                                              GLDTextureRec::update(unsigned int, unsigned short*)
  11.26 MB       1.9%	24	 	                                                               GLDTextureRec::loadPrivateTexture(unsigned int, unsigned short*)
  11.26 MB       1.9%	24	 	                                                                GLDTextureRec::allocMetalTexture()
  11.26 MB       1.9%	16	 	                                                                 -[AGXTexture initWithDevice:desc:isSuballocDisabled:]
  11.25 MB       1.9%	8	 	                                                                  -[IOGPUMetalTexture initWithDevice:descriptor:sysMemSize:sysMemRowBytes:vidMemSize:vidMemRowBytes:args:argsSize:]
  11.25 MB       1.9%	8	 	                                                                   -[IOGPUMetalResource initWithDevice:options:args:argsSize:]
  11.25 MB       1.9%	8	 	                                                                    IOGPUResourceCreate
  49.22 MB       8.5%	90	 	                                 [J]forge.screens.LoadingOverlay$$Lambda$4.run()V
  49.22 MB       8.5%	90	 	                                  [j]forge.screens.LoadingOverlay.lambda$show$1(Ljava/lang/Runnable;Lforge/screens/LoadingOverlay;)V[clinit]
  49.22 MB       8.5%	90	 	                                   [J]forge.screens.LoadingOverlay.lambda$show$1(Ljava/lang/Runnable;Lforge/screens/LoadingOverlay;)V
  49.22 MB       8.5%	90	 	                                    [J]forge.screens.limited.NewDraftScreen$$Lambda$1.run()V
  49.22 MB       8.5%	90	 	                                     [j]forge.gamemodes.limited.BoosterDraft.initializeCustomDrafts()V[clinit]
  49.22 MB       8.5%	90	 	                                      [J]forge.gamemodes.limited.BoosterDraft.initializeCustomDrafts()V
  49.22 MB       8.5%	90	 	                                       [J]forge.gamemodes.limited.BoosterDraft.loadCustomDrafts()Ljava/util/List;
  49.22 MB       8.5%	90	 	                                        [j]forge.util.StreamUtil.completableFutureSupplyAsync(Ljava/util/function/Supplier;)Ljava/util/concurrent/CompletableFuture;[clinit]
  49.22 MB       8.5%	90	 	                                         [J]forge.util.StreamUtil.completableFutureSupplyAsync(Ljava/util/function/Supplier;)Ljava/util/concurrent/CompletableFuture;
  49.22 MB       8.5%	90	 	                                          [j]java.util.concurrent.CompletableFuture.supplyAsync(Ljava/util/function/Supplier;Ljava/util/concurrent/Executor;)Ljava/util/concurrent/CompletableFuture;[clinit]
  49.22 MB       8.5%	90	 	                                           [J]java.util.concurrent.CompletableFuture.supplyAsync(Ljava/util/function/Supplier;Ljava/util/concurrent/Executor;)Ljava/util/concurrent/CompletableFuture;
  49.22 MB       8.5%	90	 	                                            [J]java.util.concurrent.CompletableFuture.asyncSupplyStage(Ljava/util/concurrent/Executor;Ljava/util/function/Supplier;)Ljava/util/concurrent/CompletableFuture;
  49.22 MB       8.5%	90	 	                                             [J]java.util.concurrent.ThreadPoolExecutor.execute(Ljava/lang/Runnable;)V
  49.22 MB       8.5%	90	 	                                              [J]java.util.concurrent.ThreadPoolExecutor.addWorker(Ljava/lang/Runnable;Z)Z
  49.22 MB       8.5%	90	 	                                               [j]java.lang.Thread.start()V[synchronized]
  49.22 MB       8.5%	90	 	                                                [J]java.lang.Thread.start()V
  49.22 MB       8.5%	90	 	                                                 [J]java.lang.Thread.internalStart(Ljava/lang/Thread;)V
  49.22 MB       8.5%	90	 	                                                  rvmStartThread
  49.22 MB       8.5%	90	 	                                                   GC_pthread_create
